epoch,cos_sim,d_total,d_total_z,loss,val_cos_sim,val_d_total,val_d_total_z,val_loss
0,-0.05344543606042862,9.103885650634766,5.39523983001709,139.76393127441406,-0.040814366191625595,5.099437236785889,5.763271331787109,62.003414154052734
1,-0.04678814485669136,5.6459641456604,5.446926116943359,62.403114318847656,-0.012105465866625309,5.668354034423828,5.7926459312438965,85.00845336914062
2,-0.03844086825847626,5.903985023498535,5.684619903564453,61.41392135620117,-0.0019094794988632202,5.091624736785889,5.085291385650635,94.52845001220703
3,-0.032398466020822525,6.2617058753967285,5.541900634765625,70.6067123413086,-0.0048513165675103664,5.690895080566406,5.5348334312438965,100.92684936523438
4,-0.030073335394263268,6.692456245422363,5.649161338806152,76.58735656738281,-0.008460037410259247,20.28412437438965,5.568708419799805,230.53977966308594
5,-0.017814338207244873,6.880941390991211,5.827352523803711,72.69627380371094,-0.003015856258571148,4.934000015258789,5.663583278656006,58.428829193115234
6,-0.005797243677079678,5.963059902191162,5.301565647125244,63.431758880615234,-0.0022960337810218334,5.751020908355713,5.781979084014893,67.32494354248047
7,-0.003800224745646119,6.299983024597168,5.504512786865234,58.203269958496094,-0.0011076851515099406,5.207937717437744,5.445312976837158,58.6949462890625
8,-0.002705786842852831,6.109297275543213,5.484976291656494,63.7198486328125,-0.0024072304368019104,4.819124698638916,5.804958820343018,57.66221237182617
9,-0.0021021664142608643,4.872530460357666,5.618750095367432,54.00472640991211,0.0,4.913896083831787,5.8727288246154785,67.85320281982422
10,-0.0032442668452858925,4.741864204406738,5.548187255859375,56.3304557800293,-0.0017691534012556076,57.304996490478516,5.72404146194458,633.0299682617188
11,-0.004968763329088688,5.096911430358887,5.687250137329102,60.40000534057617,-0.0027242961805313826,5.460292339324951,5.041083335876465,64.01862335205078
12,-0.0025208774022758007,4.9046454429626465,5.414895057678223,57.42205047607422,-0.002403904451057315,4.455687522888184,5.033104419708252,60.46711730957031
13,-0.0036606111098080873,5.257562160491943,5.869943618774414,59.96074676513672,-0.001843371894210577,4.398979663848877,5.321020603179932,48.8038215637207
14,-0.0037080226466059685,4.605433940887451,5.447457790374756,53.6328125,-0.0018273964524269104,4.416083812713623,5.1041669845581055,61.0970458984375
