epoch,cos_sim,d_total,d_total_z,loss,val_cos_sim,val_d_total,val_d_total_z,val_loss
0,-0.03914859890937805,12.2921781539917,5.468595504760742,15.493313789367676,-0.022640710696578026,5.6171040534973145,5.582021236419678,12.75603199005127
1,-0.02333776466548443,5.277245044708252,5.3638596534729,12.914494514465332,-0.022346632555127144,5.406708240509033,5.475562572479248,12.17105484008789
2,-0.016821444034576416,5.356937408447266,5.348150253295898,12.790358543395996,-0.0021693117450922728,5.822103977203369,5.822103977203369,12.654191017150879
3,-0.010282640345394611,5.669072151184082,5.503620147705078,13.170907974243164,0.0,5.262583255767822,5.262583255767822,10.620038986206055
4,-0.009985177777707577,5.646272659301758,5.402862548828125,12.691557884216309,0.0,4.942562580108643,4.942562580108643,10.440917015075684
5,-0.006791645660996437,6.144561767578125,5.764114856719971,12.847851753234863,-0.0030189473181962967,5.3825836181640625,5.230958461761475,11.433751106262207
6,-0.006166896317154169,6.195376396179199,5.764129161834717,12.732126235961914,0.0,5.248562335968018,5.248562335968018,10.551543235778809
7,-0.0036915368400514126,5.668179512023926,5.471224308013916,11.985943794250488,0.0,5.602833271026611,5.602833271026611,11.35369873046875
8,-0.001972565893083811,5.656861782073975,5.457150459289551,11.410494804382324,0.0,4.917145729064941,4.917145729064941,10.185026168823242
9,-0.0002706398372538388,5.360421657562256,5.354467391967773,10.968522071838379,0.0,5.18206262588501,5.18206262588501,10.505823135375977
10,-0.0033007070887833834,5.863588809967041,5.680118560791016,11.930899620056152,0.0,5.736104488372803,5.736104488372803,11.720463752746582
11,-0.0012192524736747146,5.639997959136963,5.582633018493652,11.584280967712402,0.0,5.649541854858398,5.649541854858398,11.262137413024902
12,-6.955769640626386e-05,5.5038275718688965,5.488529205322266,11.057504653930664,0.0,6.0614166259765625,6.0614166259765625,11.628739356994629
13,0.0,5.410491943359375,5.410491943359375,11.066777229309082,0.0,5.188041687011719,5.188041687011719,10.780726432800293
14,0.0,5.367682456970215,5.367682456970215,10.834173202514648,0.0,5.643270492553711,5.643270492553711,11.582695007324219
15,0.0,5.714552402496338,5.714552402496338,11.259047508239746,0.0,5.130062580108643,5.130062580108643,10.367984771728516
16,0.0,5.664474010467529,5.664474010467529,11.42626953125,0.0,5.349979400634766,5.349979400634766,10.73450756072998
17,0.0,5.580852508544922,5.580852508544922,11.137760162353516,0.0,5.368499755859375,5.368499755859375,11.055180549621582
18,0.0,5.7174577713012695,5.7174577713012695,11.396093368530273,0.0,4.938146114349365,4.938146114349365,10.161251068115234
19,0.0,5.455317497253418,5.455317497253418,11.0153226852417,0.0,5.346521377563477,5.346521377563477,10.504803657531738
