epoch,cos_sim,d_total,loss,val_cos_sim,val_d_total,val_loss
0,-0.0455065555870533,11.417240142822266,20.803251266479492,-0.030915817245841026,5.812125205993652,19.925846099853516
1,-0.0345260314643383,5.554213523864746,19.64337158203125,-0.017441583797335625,5.500791549682617,17.767993927001953
2,-0.022933656349778175,5.605780601501465,18.941137313842773,-0.0017691821558400989,5.169361591339111,15.46671199798584
3,-0.017545560374855995,5.614323139190674,18.763866424560547,-0.001116574858315289,5.344611167907715,16.28312110900879
4,-0.01952684484422207,5.490750312805176,18.782657623291016,0.0,5.250153541564941,14.179891586303711
5,-0.01837034523487091,5.720212459564209,19.122886657714844,-0.00586877204477787,5.214139938354492,17.55162811279297
6,-0.0319385826587677,5.595499038696289,18.550613403320312,-0.051020219922065735,5.148763656616211,18.470415115356445
7,-0.06874069571495056,5.283029079437256,18.107738494873047,-0.06543546915054321,4.88663911819458,17.05045509338379
8,-0.10871565341949463,4.918167591094971,17.507356643676758,-0.12290485948324203,4.730902671813965,17.5361385345459
9,-0.1513977199792862,4.83137321472168,17.05586051940918,-0.15025798976421356,4.9982500076293945,16.840864181518555
10,-0.17354007065296173,4.666071891784668,16.618366241455078,-0.18323548138141632,3.87981915473938,16.016414642333984
11,-0.17730936408042908,4.594898700714111,16.1900577545166,-0.18674586713314056,3.828486204147339,15.33521842956543
12,-0.20945973694324493,4.49057149887085,15.767075538635254,-0.21087418496608734,4.157527923583984,15.79417896270752
13,-0.20986813306808472,4.213266372680664,15.284637451171875,-0.1827828288078308,4.520750045776367,16.570514678955078
14,-0.20801541209220886,4.262745380401611,15.454364776611328,-0.2605804204940796,3.5307083129882812,14.153563499450684
15,-0.25031185150146484,3.950549364089966,14.798351287841797,-0.34173014760017395,3.738056182861328,14.40989875793457
16,-0.2965843081474304,4.007008075714111,14.289175033569336,-0.30390727519989014,4.705846786499023,15.592235565185547
17,-0.3246954679489136,3.8950812816619873,14.121814727783203,-0.31370729207992554,6.097736358642578,15.539762496948242
18,-0.31858909130096436,3.751481056213379,13.907666206359863,-0.3499257564544678,3.5082640647888184,13.826979637145996
19,-0.36744964122772217,3.56569504737854,13.295798301696777,-0.3692203760147095,3.1218888759613037,12.683781623840332
20,-0.37667810916900635,3.571136474609375,13.312957763671875,-0.4213474690914154,2.8375000953674316,12.517434120178223
21,-0.4097660779953003,3.9208638668060303,13.043438911437988,-0.47089895606040955,3.097944498062134,12.112236022949219
22,-0.4430185854434967,3.3611998558044434,12.353989601135254,-0.4077909290790558,3.2136387825012207,12.37106704711914
23,-0.4611116051673889,3.372962713241577,12.381614685058594,-0.4119369685649872,3.272778034210205,13.759563446044922
24,-0.48639175295829773,3.2138707637786865,11.992718696594238,-0.4312630891799927,3.1655001640319824,12.764739990234375
25,-0.4974627196788788,3.2386646270751953,12.019604682922363,-0.4148034453392029,3.197861671447754,13.668445587158203
26,-0.49649837613105774,3.001120090484619,11.285311698913574,-0.4788893461227417,3.108513832092285,11.951987266540527
27,-0.4974081814289093,3.205343723297119,11.668984413146973,-0.4163537919521332,3.3905835151672363,12.300802230834961
28,-0.48191457986831665,3.148409605026245,11.6653470993042,-0.48033300042152405,3.1489579677581787,12.648272514343262
29,-0.5088634490966797,2.9978768825531006,11.273118019104004,-0.4285333752632141,3.3640832901000977,13.210774421691895
30,-0.5017803311347961,2.9952499866485596,11.251110076904297,-0.4845620393753052,2.9654862880706787,12.798264503479004
31,-0.5014499425888062,3.122309684753418,11.508976936340332,-0.45420870184898376,2.9483747482299805,11.731840133666992
32,-0.5098177790641785,2.8959920406341553,11.045767784118652,-0.49171727895736694,3.468555450439453,12.275474548339844
33,-0.5114548802375793,2.983074188232422,10.97819995880127,-0.5756831169128418,3.1579442024230957,11.79030990600586
